hotel,country,total_reservas,cancelamentos,taxa_bruta,log_reservas,estimativa_bayesiana,erro_padrao,shrinkage,ic_inferior,ic_superior
City Hotel,ABW,2,0,0,0.3010299956639812,0.2278694770330245,0.10779501384749474,0.2278694770330245,0.016591249891934806,0.4391477041741142
City Hotel,AGO,338,198,0.5857988165680473,2.5289167002776547,0.5737007944463199,0.026391172057675757,0.012098022121727392,0.5219740972132755,0.6254274916793644
City Hotel,AIA,1,0,0,0,0.2439825842088595,0.11420677911254053,0.2439825842088595,0.020137297148280053,0.4678278712694389
City Hotel,ALB,9,1,0.1111111111111111,0.9542425094393249,0.20099341270523113,0.08516456600157325,0.08988230159412003,0.03407086334214757,0.3679159620683147
City Hotel,AND,2,2,1,0.3010299956639812,0.3599535536738513,0.1233500166669585,0.6400464463261487,0.11818752100661264,0.6017195863410899
City Hotel,ARE,40,35,0.875,1.6020599913279623,0.7235419018722814,0.06135190929409235,0.1514580981277186,0.6032921596558604,0.8437916440887024
City Hotel,ARG,157,45,0.28662420382165604,2.1958996524092336,0.28476453187386186,0.03459886623054932,0.0018596719477941837,0.2169507540619852,0.35257830968573856
City Hotel,ARM,6,2,0.3333333333333333,0.7781512503836436,0.28473550194999614,0.10314827192229438,0.048597831383337176,0.08256488898229916,0.4869061149176931
City Hotel,ASM,1,0,0,0,0.2439825842088595,0.11420677911254053,0.2439825842088595,0.020137297148280053,0.4678278712694389
City Hotel,ATA,2,0,0,0.3010299956639812,0.2278694770330245,0.10779501384749474,0.2278694770330245,0.016591249891934806,0.4391477041741142
City Hotel,ATF,1,0,0,0,0.2439825842088595,0.11420677911254053,0.2439825842088595,0.020137297148280053,0.4678278712694389
City Hotel,AUS,339,92,0.2713864306784661,2.530199698203082,0.2710565772006853,0.023687435914580047,3.2985347778075047e-4,0.22462920280810844,0.3174839515932622
City Hotel,AUT,1053,196,0.18613485280151948,3.0224283711854865,0.1870767630800027,0.011943378406826494,9.419102784832267e-4,0.16366774140262277,0.21048578475738264
City Hotel,AZE,14,8,0.5714285714285714,1.146128035678238,0.4218710750999963,0.09479432448620731,0.14955749632857512,0.23607419910702995,0.6076679510929626
City Hotel,BEL,1894,415,0.2191129883843717,3.2773799746672547,0.2194122925965021,0.009476540675338025,2.993042121303968e-4,0.20083827287283956,0.23798631232016465
City Hotel,BEN,3,3,1,0.47712125471966244,0.399604871741677,0.12191496992394914,0.600395128258323,0.16065153069073673,0.6385582127926173
City Hotel,BFA,1,0,0,0,0.2439825842088595,0.11420677911254053,0.2439825842088595,0.020137297148280053,0.4678278712694389
